title	type	genres	releaseYear	imdbId	imdbAverageRating	imdbNumVotes	availableCountries
Inside Man	movie	Crime, Drama, Mystery	2006.0	tt0454848	7.6	405112.0	AU, US
Lisbon Story	movie	Drama, Music	1994.0	tt0110361	7.1	5540.0	DE
A Fistful of Dollars	movie	Action, Drama, Western	1964.0	tt0058461	7.9	238743.0	BR
Chocolat	movie	Drama, Romance	2000.0	tt0241303	7.2	204608.0	US
Kill Bill: Vol. 2	movie	Action, Crime, Thriller	2004.0	tt0378194	8.0	823247.0	BR, CL, CO, MX
Basic Instinct	movie	Drama, Mystery, Thriller	1992.0	tt0103772	7.1	224753.0	GB
The Straight Story	movie	Biography, Drama	1999.0	tt0166896	8.0	99741.0	DE
La haine	movie	Crime, Drama	1995.0	tt0113247	8.1	203954.0	GB
The English Patient	movie	Drama, Romance, War	1996.0	tt0116209	7.4	206178.0	US
8½	movie	Drama	1963.0	tt0056801	8.0	127287.0	DE, GB
The Pianist	movie	Biography, Drama, Music	2002.0	tt0253474	8.5	940281.0	BR, CL, CO, DE, GB, IN, MX
My Uncle	movie	Comedy	1958.0	tt0050706	7.7	24694.0	DE
The Good, the Bad and the Ugly	movie	Adventure, Drama, Western	1966.0	tt0060196	8.8	831491.0	BR, CL, CO, MX
The Day After Tomorrow	movie	Action, Adventure, Sci-Fi	2004.0	tt0319262	6.5	488527.0	US
Cube²: Hypercube	movie	Horror, Mystery, Sci-Fi	2002.0	tt0285492	5.5	71286.0	IN
La Dolce Vita	movie	Comedy, Drama	1960.0	tt0053779	8.0	79777.0	DE
Caché	movie	Drama, Mystery, Thriller	2005.0	tt0387898	7.3	86755.0	GB
Leaving Las Vegas	movie	Drama, Romance	1995.0	tt0113627	7.5	137824.0	DE
The Idiots	movie	Comedy, Drama	1998.0	tt0154421	6.7	34526.0	DE
A Beautiful Mind	movie	Biography, Drama, Mystery	2001.0	tt0268978	8.2	1005086.0	AT, CH, FR, GB, IE, IT
As It Is in Heaven	movie	Comedy, Drama, Music	2004.0	tt0382330	7.5	18480.0	DE
Stranger Than Paradise	movie	Comedy, Drama	1984.0	tt0088184	7.4	41379.0	DE
Shaft	movie	Action, Crime, Thriller	2000.0	tt0162650	6.0	81702.0	US
Good Will Hunting	movie	Drama, Romance	1997.0	tt0119217	8.3	1103246.0	AU, DE, US
The Seventh Seal	movie	Drama, Fantasy	1957.0	tt0050976	8.1	203140.0	DE, GB
The Green Mile	movie	Crime, Drama, Fantasy	1999.0	tt0120689	8.6	1446876.0	AU
Cléo from 5 to 7	movie	Comedy, Drama, Music	1962.0	tt0055852	7.8	28510.0	GB
Reservoir Dogs	movie	Crime, Thriller	1992.0	tt0105236	8.3	1111895.0	BR, CL, CO, IN, MX
Love Actually	movie	Comedy, Drama, Romance	2003.0	tt0314331	7.6	538868.0	AU, US
Notting Hill	movie	Comedy, Drama, Romance	1999.0	tt0125439	7.2	353419.0	AU
Requiem	movie	Drama, Horror	2006.0	tt0454931	6.9	6516.0	US
Casino	movie	Crime, Drama	1995.0	tt0112641	8.2	577852.0	AU, DE
The Blues Brothers	movie	Action, Adventure, Comedy	1980.0	tt0080455	7.9	218496.0	AU
Flashdance	movie	Drama, Music, Romance	1983.0	tt0085549	6.2	60827.0	AR, AT, BO, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Psycho	movie	Horror, Mystery, Thriller	1960.0	tt0054215	8.5	737046.0	AU
There's Something About Mary	movie	Comedy, Romance	1998.0	tt0129387	7.1	334485.0	US
Rashomon	movie	Crime, Drama, Mystery	1950.0	tt0042876	8.2	185095.0	GB
The Poseidon Adventure	movie	Action, Adventure, Drama	1972.0	tt0069113	7.1	50260.0	US
Die Hard	movie	Action, Thriller	1988.0	tt0095016	8.2	964006.0	US
The Mummy	movie	Action, Adventure, Fantasy	1999.0	tt0120616	7.1	472976.0	AU
The Ring	movie	Horror, Mystery	2002.0	tt0298130	7.1	383909.0	IT
Apollo 13	movie	Adventure, Drama, History	1995.0	tt0112384	7.7	321315.0	AU, US
The Birds	movie	Drama, Horror, Mystery	1963.0	tt0056869	7.6	209731.0	AU
Jaws	movie	Adventure, Drama, Thriller	1975.0	tt0073195	8.1	679542.0	AU
Jaws: The Revenge	movie	Adventure, Horror, Thriller	1987.0	tt0093300	3.0	50769.0	AU
2 Fast 2 Furious	movie	Action, Crime, Thriller	2003.0	tt0322259	5.9	303967.0	AU
Silent Hill	movie	Horror, Mystery	2006.0	tt0384537	6.5	249326.0	CA
The Hours	movie	Drama, Romance	2002.0	tt0274558	7.5	142742.0	AU, US
The Conversation	movie	Drama, Mystery, Thriller	1974.0	tt0071360	7.7	125476.0	AT, CH, DE, FR, GB, IE, IT, US
The Terminal	movie	Comedy, Drama, Romance	2004.0	tt0362227	7.4	505809.0	AT, CA, CH, DE, FR, GB, IE, IT, US
Titanic	movie	Drama, Romance	1997.0	tt0120338	7.9	1313271.0	CA, US
Sunset Boulevard	movie	Drama, Film-Noir	1950.0	tt0043014	8.4	242944.0	AT, CH, DE, FR, GB, IE, IT, US
E.T. the Extra-Terrestrial	movie	Adventure, Family, Sci-Fi	1982.0	tt0083866	7.9	446327.0	AU
Munich	movie	Action, Drama, History	2005.0	tt0408306	7.5	243319.0	AT, CH, DE, FR, GB, IE, IT
Wild Strawberries	movie	Drama, Romance	1957.0	tt0050986	8.1	117482.0	DE, GB
Wild Things	movie	Crime, Drama, Mystery	1998.0	tt0120890	6.6	133946.0	US
Ghostbusters	movie	Action, Comedy, Fantasy	1984.0	tt0087332	7.8	462960.0	US
Grease	movie	Comedy, Musical, Romance	1978.0	tt0077631	7.2	307959.0	AT, CA, CH, DE, FR, GB, IE, IT, US
The Ninth Gate	movie	Mystery, Thriller	1999.0	tt0142688	6.7	201446.0	BR, CL, CO, IN, MX
A Fish Called Wanda	movie	Comedy, Crime	1988.0	tt0095159	7.5	156726.0	BR
The Killing Fields	movie	Biography, Drama, History	1984.0	tt0087553	7.8	60636.0	DE
An Andalusian Dog	movie	Fantasy, Horror, Short	1929.0	tt0020530	7.6	54614.0	GB
Sunrise	movie	Drama, Romance	1927.0	tt0018455	8.1	54601.0	GB
